day,record_count
2023-08-02,2179
2023-08-01,2345
2023-07-31,1755
2023-07-30,2361
2023-07-29,1812
2023-07-28,1434
2023-07-27,1598
2023-07-26,1351
2023-07-25,1221
2023-07-24,1359
2023-07-23,2349
2023-07-22,1638
2023-07-21,1457
2023-07-20,1478
2023-07-19,1842
2023-07-18,1256
2023-07-17,1404
2023-07-16,2360
2023-07-15,1943
2023-07-14,1889
2023-07-13,1493
2023-07-12,809
2023-07-11,761
2023-07-10,894
2023-07-09,1536
2023-07-08,1217
2023-07-07,1504
2023-07-06,1483
2023-07-05,1277
2023-07-04,1139
2023-07-03,1294
2023-07-02,2112
2023-07-01,1970
2023-06-30,1413
2023-06-29,1332
2023-06-28,1337
2023-06-27,1092
2023-06-26,979
2023-06-25,1545
2023-06-24,1305
2023-06-23,1206
2023-06-22,1362
2023-06-21,1032
2023-06-20,936
2023-06-19,1102
2023-06-18,1830
2023-06-17,1256
2023-06-16,837
2023-06-15,909
2023-06-14,1202
2023-06-13,1182
2023-06-12,1163
2023-06-11,1980
2023-06-10,1224
2023-06-09,1160
2023-06-08,1335
2023-06-07,1178
2023-06-06,1308
2023-06-05,1419
2023-06-04,2791
2023-06-03,1850
2023-06-02,1752
2023-06-01,1614
2023-05-31,1580
2023-05-30,1432
2023-05-29,2211
2023-05-28,2486
2023-05-27,1871
2023-05-26,1480
2023-05-25,1036
2023-05-24,1499
2023-05-23,1144
2023-05-22,1312
2023-05-21,2671
2023-05-20,1793
2023-05-19,1546
2023-05-18,1816
2023-05-17,1223
2023-05-16,1675
2023-05-15,1895
2023-05-14,2860
2023-05-13,2309
2023-05-12,1686
2023-05-11,2084
2023-05-10,2222
2023-05-09,1779
2023-05-08,2301
2023-05-07,3709
2023-05-06,3107
2023-05-05,2704
2023-05-04,2921
2023-05-03,2364
2023-05-02,1892
2023-05-01,3889
2023-04-30,3836
2023-04-29,3079
2023-04-28,1878
2023-04-27,2161
2023-04-26,1887
2023-04-25,1882
2023-04-24,2482
2023-04-23,2987
2023-04-22,2745
2023-04-21,1915
2023-04-20,2179
2023-04-19,2100
2023-04-18,1711
2023-04-17,2111
2023-04-16,3834
2023-04-15,2897
2023-04-14,1795
2023-04-13,2404
2023-04-12,2398
2023-04-11,1781
2023-04-10,2791
2023-04-09,2373
2023-04-08,2476
2023-04-07,2569
2023-04-06,2601
2023-04-05,2219
2023-04-04,2091
2023-04-03,2645
2023-04-02,4162
2023-04-01,3725
2023-03-31,2671
2023-03-30,2453
2023-03-29,2855
2023-03-28,2446
2023-03-27,2570
2023-03-26,4453
2023-03-25,4523
2023-03-24,2373
2023-03-23,1840
2023-03-22,1809
2023-03-21,1717
2023-03-20,1713
2023-03-19,3106
2023-03-18,2498
2023-03-17,1801
2023-03-16,1843
2023-03-15,1739
2023-03-14,1621
2023-03-13,1321
2023-03-12,3040
2023-03-11,2387
2023-03-10,1898
2023-03-09,1786
2023-03-08,1804
2023-03-07,1818
2023-03-06,2082
2023-03-05,3774
2023-03-04,3144
2023-03-03,2253
2023-03-02,2400
2023-03-01,2399
2023-02-28,1965
2023-02-27,2246
2023-02-26,3251
2023-02-25,2888
2023-02-24,2626
2023-02-23,3250
2023-02-22,3688
2023-02-21,3671
